region,category,official_name,engine,model_id,mention_count,total_score,status
beppu,エリア,鉄輪温泉,anthropic,claude-sonnet-5,21,44,registered
beppu,宿泊,杉乃井ホテル,anthropic,claude-sonnet-5,13,40,registered
beppu,観光,別府地獄めぐり,anthropic,claude-sonnet-5,17,36,registered
beppu,グルメ,海鮮いづつ,anthropic,claude-sonnet-5,10,24,registered
beppu,観光,海地獄,anthropic,claude-sonnet-5,12,22,registered
beppu,エリア,別府温泉(市街地),anthropic,claude-sonnet-5,9,21,registered
beppu,宿泊,亀の井ホテル 別府,anthropic,claude-sonnet-5,11,20,registered
beppu,グルメ,東洋軒,anthropic,claude-sonnet-5,7,19,registered
beppu,観光,血の池地獄,anthropic,claude-sonnet-5,10,17,registered
beppu,宿泊,AMANE RESORT SEIKAI,anthropic,claude-sonnet-5,5,13,registered
beppu,グルメ,とよ常,anthropic,claude-sonnet-5,5,13,registered
beppu,グルメ,地獄蒸し工房 鉄輪,anthropic,claude-sonnet-5,6,13,registered
beppu,宿泊,ホテルアーサー KITAHAMA BASE,anthropic,claude-sonnet-5,5,12,registered
beppu,宿泊,匠晴の宿 心庵,anthropic,claude-sonnet-5,4,12,registered
beppu,観光,鬼山地獄,anthropic,claude-sonnet-5,8,12,registered
beppu,宿泊,スーパーホテル別府駅前,anthropic,claude-sonnet-5,5,11,registered
beppu,グルメ,六盛,anthropic,claude-sonnet-5,6,10,registered
beppu,観光,鬼石坊主地獄,anthropic,claude-sonnet-5,7,10,registered
beppu,観光,龍巻地獄,anthropic,claude-sonnet-5,7,10,registered
beppu,宿泊,アマネク別府ゆらり,anthropic,claude-sonnet-5,3,9,registered
beppu,グルメ,グリルみつば,anthropic,claude-sonnet-5,5,9,registered
beppu,グルメ,元祖アリラン,anthropic,claude-sonnet-5,3,9,registered
beppu,観光,竹瓦温泉,anthropic,claude-sonnet-5,5,9,registered
beppu,宿泊,おにやまホテル,anthropic,claude-sonnet-5,4,8,registered
beppu,観光,かまど地獄,anthropic,claude-sonnet-5,5,7,registered
beppu,宿泊,大江戸温泉物語 別府清風,anthropic,claude-sonnet-5,4,7,registered
beppu,観光,白池地獄,anthropic,claude-sonnet-5,5,7,registered
beppu,エリア,明礬温泉,anthropic,claude-sonnet-5,4,6,registered
beppu,グルメ,湯治の宿 大黒屋,anthropic,claude-sonnet-5,3,6,unregistered
beppu,グルメ,胡月,anthropic,claude-sonnet-5,4,6,registered
beppu,グルメ,YOUMECA別府店,anthropic,claude-sonnet-5,2,5,unregistered
beppu,観光,別府ロープウェイ,anthropic,claude-sonnet-5,3,5,registered
beppu,宿泊,SEKIYA RESORT 別邸はる樹,anthropic,claude-sonnet-5,2,4,registered
beppu,グルメ,まやかしや,anthropic,claude-sonnet-5,2,4,unregistered
beppu,グルメ,一休の泪,anthropic,claude-sonnet-5,2,4,registered
beppu,グルメ,亀正くるくる寿司,anthropic,claude-sonnet-5,3,4,registered
beppu,宿泊,別府ステーションホテル,anthropic,claude-sonnet-5,2,4,registered
beppu,観光,別府タワー,anthropic,claude-sonnet-5,2,4,registered
beppu,観光,湯けむり展望台,anthropic,claude-sonnet-5,2,4,registered
beppu,エリア,観海寺温泉,anthropic,claude-sonnet-5,2,4,registered
beppu,グルメ,そむり,anthropic,claude-sonnet-5,3,3,registered
beppu,宿泊,みゆき屋,anthropic,claude-sonnet-5,1,3,unregistered
beppu,グルメ,ろばた仁,anthropic,claude-sonnet-5,1,3,registered
beppu,宿泊,ホテルフジヨシ,anthropic,claude-sonnet-5,3,3,unregistered
beppu,グルメ,喫茶ムムム,anthropic,claude-sonnet-5,1,3,unregistered
beppu,グルメ,地獄蒸し料理,anthropic,claude-sonnet-5,1,3,unregistered
beppu,宿泊,山田別荘,anthropic,claude-sonnet-5,2,3,registered
beppu,宿泊,徳の宿 ふぶ庵,anthropic,claude-sonnet-5,2,3,registered
beppu,エリア,柴石温泉,anthropic,claude-sonnet-5,2,3,registered
beppu,グルメ,縁がわ,anthropic,claude-sonnet-5,1,3,unregistered
beppu,観光,高崎山自然動物園,anthropic,claude-sonnet-5,2,3,registered
beppu,宿泊,AMANE RESORT GAHAMA,anthropic,claude-sonnet-5,1,2,registered
beppu,グルメ,ここちカフェ むすびの,anthropic,claude-sonnet-5,1,2,unregistered
beppu,宿泊,べっぷ昭和園,anthropic,claude-sonnet-5,1,2,registered
beppu,観光,みょうばん湯の里,anthropic,claude-sonnet-5,1,2,registered
beppu,グルメ,れん,anthropic,claude-sonnet-5,1,2,unregistered
beppu,宿泊,ホテル山水館,anthropic,claude-sonnet-5,2,2,registered
beppu,宿泊,別府八湯 御宿 野乃別府,anthropic,claude-sonnet-5,1,2,registered
beppu,宿泊,別府旅宿 最乃幸,anthropic,claude-sonnet-5,1,2,registered
beppu,エリア,堀田温泉,anthropic,claude-sonnet-5,1,2,registered
beppu,観光,大分マリーンパレス水族館 うみたまご,anthropic,claude-sonnet-5,1,2,registered
beppu,宿泊,岡本屋旅館,anthropic,claude-sonnet-5,2,2,registered
beppu,宿泊,昭和レトロな温泉宿,anthropic,claude-sonnet-5,1,2,unregistered
beppu,グルメ,海鮮いっき,anthropic,claude-sonnet-5,1,2,unregistered
beppu,グルメ,潮彩屋,anthropic,claude-sonnet-5,1,2,unregistered
beppu,グルメ,焼肉 一力,anthropic,claude-sonnet-5,1,2,unregistered
beppu,宿泊,神和苑,anthropic,claude-sonnet-5,1,2,registered
beppu,宿泊,竹と椿のお宿 花べっぷ,anthropic,claude-sonnet-5,2,2,registered
beppu,宿泊,美湯の宿 両築別邸,anthropic,claude-sonnet-5,1,2,registered
beppu,グルメ,荘園小町,anthropic,claude-sonnet-5,1,2,unregistered
beppu,宿泊,野上本館,anthropic,claude-sonnet-5,1,2,registered
beppu,グルメ,陽なたや,anthropic,claude-sonnet-5,1,2,unregistered
beppu,宿泊,ANAインターコンチネンタル別府リゾート&スパ,anthropic,claude-sonnet-5,1,1,registered
beppu,宿泊,ホテル フジヨシ,anthropic,claude-sonnet-5,1,1,registered
beppu,宿泊,ホテルニューツルタ,anthropic,claude-sonnet-5,1,1,registered
beppu,宿泊,ホテルリゾーピア別府,anthropic,claude-sonnet-5,1,1,unregistered
beppu,宿泊,ホテル白菊,anthropic,claude-sonnet-5,1,1,registered
beppu,グルメ,九丁目の八ちょう目,anthropic,claude-sonnet-5,1,1,unregistered
beppu,グルメ,元町バル,anthropic,claude-sonnet-5,1,1,unregistered
beppu,グルメ,別府冷麺,anthropic,claude-sonnet-5,1,1,unregistered
beppu,宿泊,別府駅前 ホテルシーウェーブ別府,anthropic,claude-sonnet-5,1,1,registered
beppu,観光,志高湖,anthropic,claude-sonnet-5,1,1,registered
beppu,エリア,鉄輪温泉,google,gemini-3.5-flash,31,57,registered
beppu,エリア,別府温泉(市街地),google,gemini-3.5-flash,18,39,registered
beppu,宿泊,AMANE RESORT SEIKAI,google,gemini-3.5-flash,12,35,registered
beppu,観光,別府地獄めぐり,google,gemini-3.5-flash,14,30,registered
beppu,宿泊,杉乃井ホテル,google,gemini-3.5-flash,10,26,registered
beppu,グルメ,東洋軒,google,gemini-3.5-flash,10,25,registered
beppu,グルメ,地獄蒸し工房 鉄輪,google,gemini-3.5-flash,11,21,registered
beppu,宿泊,亀の井ホテル 別府,google,gemini-3.5-flash,11,19,registered
beppu,グルメ,とよ常,google,gemini-3.5-flash,9,18,registered
beppu,グルメ,六盛,google,gemini-3.5-flash,9,16,registered
beppu,観光,海地獄,google,gemini-3.5-flash,10,16,registered
beppu,宿泊,ANAインターコンチネンタル別府リゾート&スパ,google,gemini-3.5-flash,8,13,registered
beppu,エリア,明礬温泉,google,gemini-3.5-flash,8,13,registered
beppu,宿泊,神和苑,google,gemini-3.5-flash,6,13,registered
beppu,グルメ,海鮮いづつ,google,gemini-3.5-flash,6,12,registered
beppu,観光,血の池地獄,google,gemini-3.5-flash,8,12,registered
beppu,宿泊,別府八湯 御宿 野乃別府,google,gemini-3.5-flash,4,11,registered
beppu,観光,かまど地獄,google,gemini-3.5-flash,6,9,registered
beppu,宿泊,アマネク別府ゆらり,google,gemini-3.5-flash,5,9,registered
